resume_index,job_index,resume_id,job_id,tfidf_cosine,resume_len,job_len,resume_num_skills,job_num_skills,shared_skills_count,shared_skills_ratio,resume_word_count,resume_char_count,resume_sentence_count,job_word_count,job_char_count,job_sentence_count,fuzzy_skill_score,resume_years_experience,resume_education_level,resume_level,resume_experienced_flag,resume_remote_flag,job_years_experience,job_education_level,job_level,job_experienced_flag,job_remote_flag,job_mentor_req_flag,education_level_match,experience_level_match,years_experience_match,keyword_overlap_score,embedding_cosine,label,skill_experience_interaction,similarity_skill_interaction,remote_compatibility
0,0,16852973,job_0,0.0,666,2,0,0,0,0.0,666,5000,27,2,11,2,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.0266319122165441,0,0.0,0.0,1.0
0,1,16852973,job_1,0.0036992972471542,666,40,0,0,0,0.0,666,5000,27,40,209,6,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.2077881693840026,1,0.0,0.0036992972471542,1.0
0,2,16852973,job_2,0.0036992972471542,666,56,0,0,0,0.0,666,5000,27,56,293,8,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.1716479659080505,0,0.0,0.0036992972471542,1.0
0,3,16852973,job_3,0.0036992972471542,666,64,0,0,0,0.0,666,5000,27,64,335,9,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.1628022193908691,0,0.0,0.0036992972471542,1.0
0,4,16852973,job_4,0.0036992972471542,666,48,0,0,0,0.0,666,5000,27,48,251,7,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.1888063102960586,0,0.0,0.0036992972471542,1.0
0,5,16852973,job_5,0.0036992972471542,666,80,0,0,0,0.0,666,5000,27,80,419,11,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.1590398550033569,0,0.0,0.0036992972471542,1.0
0,6,16852973,job_6,0.0036992972471542,666,72,0,0,0,0.0,666,5000,27,72,377,10,0.0,15,associate,senior,0,0,0,,,0,0,0,0.0,0.0,1.0,0.0,0.1602079570293426,0,0.0,0.0036992972471542,1.0
1,0,22323967,job_0,0.0,704,2,0,0,0,0.0,704,5144,27,2,11,2,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.0517845079302787,0,0.0,0.0,1.0
1,1,22323967,job_1,0.0114200888645574,704,40,0,0,0,0.0,704,5144,27,40,209,6,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.275503396987915,1,0.0,0.0114200888645574,1.0
1,2,22323967,job_2,0.0114200888645574,704,56,0,0,0,0.0,704,5144,27,56,293,8,0.0,0,master,senior,0,0,0,,,0,0,0,0.0,0.0,0.5,0.0,0.2351722866296768,1,0.0,0.0114200888645574,1.0
